Date,AAPL,AMZN,BAC,GOOGL,JPM,META,MSFT,NFLX,NVDA,SPY,TSLA
2019-09-12,128906800,56470000,72943900,31644000,12283500,11419800,27010000,5010900,327840000,72908700,128718000
2019-09-13,159053200,39426000,79657000,23676000,16257200,11441100,23363100,6583100,324592000,62104800,79696500
2019-09-16,84632400,73510000,43391300,28218000,11993900,8444800,16731400,5307400,231832000,58191200,70921500
2019-09-17,73274800,39648000,48284900,20806000,10735400,9671100,17814200,4777100,223048000,41475500,57981000
2019-09-18,101360000,50112000,66640400,17440000,10665600,9681900,23982100,7811100,258152000,73375800,62553000
2019-09-19,88242400,40630000,43035700,16554000,9382600,10392700,35772100,8461300,245476000,76560500,71937000
2019-09-20,221652400,106838000,167269000,37692000,21862800,19934200,39167300,23832800,350244000,89565000,95295000
2019-09-23,76662000,58446000,52048300,20798000,9135100,13327600,17139300,13478600,249712000,43476800,65103000
2019-09-24,124763200,92320000,64806900,35804000,11696500,18546600,29773200,16338200,317268000,94869400,193372500
2019-09-25,87613600,69864000,45807700,26798000,9389400,18068300,21382000,11643800,308432000,71854000,141406500
2019-09-26,75334000,70736000,33198100,23166000,9899200,16083300,17456600,7684000,234564000,56179700,178267500
2019-09-27,101408000,78144000,41336600,34122000,10207800,14656200,22477700,7328300,362056000,84746600,166746000
2019-09-30,103909600,52894000,39191000,24470000,9755000,10740000,17280900,6727200,186184000,51662400,88197000
2019-10-01,139223200,61690000,49434400,24504000,11250300,17073000,21466600,8650300,366008000,88242400,92439000
2019-10-02,138449200,66022000,52293100,33030000,12548700,16151700,30521700,7659100,293372000,122539500,84471000
2019-10-03,114426000,69364000,53015800,28368000,12735200,16086300,24132900,8951000,450588000,85278800,226267500
2019-10-04,138478800,49438000,42641800,24282000,9453100,10430200,22897700,9890400,265524000,65091200,119925000
2019-10-07,122306000,43094000,36742400,17040000,6771600,9178300,15303700,6525600,480984000,59610500,120963000
2019-10-08,111820000,50840000,58201100,20086000,10806300,9466900,25550500,6276400,444436000,95708100,130173000
2019-10-09,74770400,40870000,37511400,15948000,7273700,7556900,19749900,6794400,292412000,62359400,103416000
2019-10-10,113013600,51504000,48239300,12842000,10994100,8605000,17654600,10809100,309124000,55296300,94249500
2019-10-11,166795600,65100000,70008600,22330000,15076500,14930500,25446000,8786100,446404000,98720400,127131000
2019-10-14,96427600,38204000,36040100,13296000,8779000,7006000,13304300,5513200,200040000,40394800,153075000
2019-10-15,87360000,62234000,78656000,27584000,23379000,15039100,19695700,7685600,664124000,46754500,96492000
2019-10-16,73903200,55268000,87131700,22986000,11087700,10516900,20751600,16175900,428944000,48928200,100261500
2019-10-17,67585200,52948000,55575900,20958000,10818500,9603000,21460600,38258900,263436000,45736600,71539500
2019-10-18,97433600,67250000,48872900,31624000,10417400,16874200,32273500,23429900,307440000,64304000,86247000
2019-10-21,87247200,42608000,61087400,18094000,12714600,8122600,20078200,12599200,261868000,39048600,75304500
2019-10-22,82293600,42234000,58662100,22862000,12549100,19537600,27431000,11802400,328720000,48594700,69012000
2019-10-23,75828800,42764000,47771200,21282000,8828300,12300400,29844600,7133500,279916000,34352200,78916500
2019-10-24,69275200,88922000,39491000,20224000,8020500,11413500,37029300,4827400,232020000,35453100,445813500
2019-10-25,73477200,192528000,43702000,27104000,9055700,8061200,25959700,4747800,423092000,45205400,450091500
2019-10-28,96572800,74178000,58790300,65428000,9522200,13657900,35280100,6248400,330792000,42147000,283054500
2019-10-29,142839600,45538000,48266600,52654000,9797300,13574900,20589500,4356200,211236000,44284900,190264500
2019-10-30,124522000,48988000,45262400,29204000,8513700,28734600,18496600,9345600,205960000,49643900,144627000
2019-10-31,139162000,55624000,49430900,31904000,11589100,42286500,24605100,5090000,209732000,69053800,76005000
2019-11-01,151125200,55808000,41985300,28812000,11682600,21711800,33128400,5594300,283640000,71141500,95758500
2019-11-04,103272000,55438000,54228600,30632000,9159900,16371300,16912000,5566200,376716000,60606900,131805000
2019-11-05,79897600,37710000,68785600,25148000,13747600,9942000,18250200,4062400,300868000,42933200,104151000
2019-11-06,75864400,40596000,47524500,24626000,11231100,10973000,16575800,3438300,269012000,46487100,119113500
2019-11-07,94940400,53022000,68310700,45140000,13528900,13473000,17786700,5928500,280340000,54272300,217009500
2019-11-08,69986400,42466000,38724000,30392000,9293400,10760800,16732700,4509000,189100000,49032100,91038000
2019-11-11,81821200,38920000,27784000,17234000,8679000,8631200,14362600,3944300,243436000,35797300,149800500
2019-11-12,87388800,40752000,37282200,28852000,9099000,17615500,18641600,5772800,283504000,46484600,110391000
2019-11-13,102734400,59790000,48887800,20538000,8023300,10860700,16919200,9158900,300188000,53917700,126301500
2019-11-14,89182800,45296000,35554600,28948000,8483400,9040500,19729800,6529000,518080000,51219900,96973500
2019-11-15,100206400,78552000,36398300,39286000,10163600,11524300,23485700,6333800,1053628000,62023600,72135000
2019-11-18,86703200,56790000,31133700,27984000,8749300,16167200,21534000,8616600,574588000,49228000,66006000
2019-11-19,76167200,45416000,33183700,21864000,8824500,19056800,23935700,5918000,414564000,67804700,115872000
2019-11-20,106234400,55800000,43612200,28892000,11782800,12355400,25696800,5111800,472588000,79406200,100876500
2019-11-21,121395200,53258000,42787600,25546000,7705500,12131000,18576100,7488400,288388000,54664700,91650000
2019-11-22,65325200,49582000,38783900,27776000,8167900,9959800,15901800,5970100,224100000,44850200,253059000
2019-11-25,84020400,69724000,50238800,23590000,10068500,15272300,22420900,7873900,506476000,48647200,185092500
2019-11-26,105207600,63624000,50626600,21910000,10490700,11735500,24620100,5321000,385244000,37569000,119211000
2019-11-27,65235600,60512000,32097700,18808000,6607900,12736600,15184400,4096900,215784000,44444600,83334000
2019-11-29,46617600,38468000,19503400,12802000,5712000,7985200,11977300,2411700,141556000,36592700,36984000
2019-12-02,94487200,78512000,47158800,26538000,8615600,11503400,27418400,6218800,372036000,75767800,91117500
2019-12-03,114430400,67618000,58745100,25270000,10361300,11595300,24066000,4992800,465232000,73941700,98605500
2019-12-04,67181600,53402000,46637900,35506000,10318200,8456300,17574700,3512100,273424000,49080000,82995000
2019-12-05,74424400,56476000,38304500,24408000,9587400,9740400,17869100,4615500,184884000,40709000,55869000
2019-12-06,106075600,62348000,50908500,32968000,10170600,12270600,16403500,4457800,232236000,48927000,114186000
2019-12-09,128042400,48856000,32974500,30842000,8498200,11954800,16687400,5748400,211880000,34838500,135346500
2019-12-10,90420400,50286000,41960100,17606000,7532900,9475700,16476100,10476100,256388000,52649800,132424500
2019-12-11,78756800,41952000,43107800,20480000,9011900,8036800,18856600,5589800,233796000,53429100,103467000
2019-12-12,137310400,61918000,64942500,29114000,13717400,23734800,24612100,4766600,404348000,96389600,116458500
2019-12-13,133587600,54914000,48539600,33170000,10592100,18798000,23845400,3879700,454704000,81503900,98563500
2019-12-16,128186000,62904000,50777100,28128000,11372000,14911500,24144200,4658900,320976000,82749700,272613000
2019-12-17,114158400,72888000,50840500,32948000,11546800,10175700,25425600,10427100,321196000,61097700,127452000
2019-12-18,116028400,67028000,48757900,23330000,10381500,23274400,24129200,11207400,343548000,48133000,211815000
2019-12-19,98369200,53056000,45409500,28922000,9350400,16514600,24958900,9822300,445360000,85310500,271606500
2019-12-20,275978000,103016000,109395500,50090000,29992600,27306900,53477500,9914900,603044000,147142100,221290500
2019-12-23,98572000,42728000,33995400,19936000,9738400,13348900,17718200,5765300,355060000,52990000,199794000
2019-12-24,48478800,17626000,13805400,13468000,3324300,6046300,8989200,2019300,138864000,20270000,120820500
2019-12-26,93121200,120108000,26992100,23662000,6770900,9350700,14520600,3589900,182852000,30911200,159508500
